title,rating,cast
"
      1.
      The Shawshank Redemption
(1994)
","
9.2
","Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
"
      2.
      The Godfather
(1972)
","
9.2
","Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
"
      3.
      The Godfather: Part II
(1974)
","
9.0
","Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
"
      4.
      The Dark Knight
(2008)
","
9.0
","Christopher Nolan (dir.), Christian Bale, Heath Ledger"
"
      5.
      12 Angry Men
(1957)
","
8.9
","Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
"
      6.
      Schindler's List
(1993)
","
8.9
","Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
"
      7.
      The Lord of the Rings: The Return of the King
(2003)
","
8.9
","Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
"
      8.
      Pulp Fiction
(1994)
","
8.9
","Quentin Tarantino (dir.), John Travolta, Uma Thurman"
"
      9.
      Il buono, il brutto, il cattivo
(1966)
","
8.8
","Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
"
      10.
      Fight Club
(1999)
","
8.8
","David Fincher (dir.), Brad Pitt, Edward Norton"
"
      11.
      The Lord of the Rings: The Fellowship of the Ring
(2001)
","
8.8
","Peter Jackson (dir.), Elijah Wood, Ian McKellen"
"
      12.
      Forrest Gump
(1994)
","
8.7
","Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
"
      13.
      Inception
(2010)
","
8.7
","Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
"
      14.
      Star Wars: Episode V - The Empire Strikes Back
(1980)
","
8.7
","Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
"
      15.
      The Lord of the Rings: The Two Towers
(2002)
","
8.7
","Peter Jackson (dir.), Elijah Wood, Ian McKellen"
"
      16.
      One Flew Over the Cuckoo's Nest
(1975)
","
8.7
","Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
"
      17.
      Goodfellas
(1990)
","
8.7
","Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
"
      18.
      The Matrix
(1999)
","
8.6
","Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
"
      19.
      Shichinin no samurai
(1954)
","
8.6
","Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
"
      20.
      Avengers: Endgame
(2019)
","
8.6
","Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
"
      21.
      Se7en
(1995)
","
8.6
","David Fincher (dir.), Morgan Freeman, Brad Pitt"
"
      22.
      Cidade de Deus
(2002)
","
8.6
","Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
"
      23.
      Star Wars
(1977)
","
8.6
","George Lucas (dir.), Mark Hamill, Harrison Ford"
